response_id,grna_target,n_nonzero_trt,n_nonzero_cntrl,pass_qc,p_value,log_2_fold_change,stage,z_orig,xi,omega,alpha,significant
X33,Fgfr2,409,87566,TRUE,0.009956466478895282,-0.1723976685646189,2,-1.2800165079125265,0.15718857338760683,1.1230483217592815,1.2186321146958223,FALSE
X13,Cxcr4,1068,127013,TRUE,0.00997352385431413,0.09450904985538688,2,2.5078032950966205,-0.9953487698311259,1.2477681925926258,1.0133704807583135,FALSE
X67,Adgrl2,463,61834,TRUE,0.009999570642007526,0.3992965393354124,2,3.6186541127163414,0.7839450824961098,1.0103281969184945,0.8713429872964122,FALSE
X73,Fos,336,42436,TRUE,0.010029097524972455,0.5069110070639029,2,1.1954108276856477,-1.1568201887276781,0.838264629324876,1.260851073095677,FALSE
X20,Egln1,739,86197,TRUE,0.010057181167078821,-0.07815624572588042,2,-1.471359762113775,-0.3172189395692941,0.9796020678945896,1.3497552750352095,FALSE
X14,Clstn1,1170,150155,TRUE,0.010125069806892852,0.1253430920850338,2,2.8493712267232207,0.5876341296456014,0.8077103195681977,0.7809957003430184,FALSE
X64,Ptk2,241,47394,TRUE,0.010129458398334457,-0.30931004038602783,2,-1.1454195660865834,-0.037187507454099766,0.861853128806958,1.2058821626288014,FALSE
X28,Pon3,858,121427,TRUE,0.010132847418532659,0.07395326072374786,2,2.7196381573549657,0.5078803564622587,0.790768021601328,0.6892858135091763,FALSE
X30,Cd81,738,82391,TRUE,0.010155526478334747,0.023401822234578873,2,3.030016893181285,0.6773549284127897,0.8396353601954887,1.1957731016082884,FALSE
X35,Epha4,1151,108389,TRUE,0.01019650412519639,0.1514922960776497,2,1.2727306201066317,-1.0718514486739559,0.8371694254307179,1.099395737770539,FALSE
X47,Arnt,571,70541,TRUE,0.010203538976241766,-0.3349878048754613,2,-2.027865386001377,-0.8719248957126706,0.8531237399842654,1.1211865630772515,FALSE
